number	type	direction	stop|Baseline Rd & Priest Dr|0|1	stop|Broadway Rd & 48th St|50|1	stop|52nd St & University Dr|100|1	stop|Rio Salado Pkwy at 1894 West|150|1	stop|Rio Salado Pkwy & Lakeside Dr|200|1	stop|Tempe Transportation Center|250|1	stop|Tempe Marketplace|300|1
1	N	N	5:16AM	5:27AM	5:33AM	5:35AM	5:39AM	5:44AM	5:56AM
2	N	N	5:46AM	5:57AM	6:03AM	6:05AM	6:09AM	6:14AM	6:26AM
3	N	N	6:16AM	6:27AM	6:33AM	6:35AM	6:39AM	6:44AM	6:56AM
4	N	N	6:46AM	6:57AM	7:03AM	7:05AM	7:09AM	7:14AM	7:26AM
5	N	N	7:16AM	7:27AM	7:33AM	7:35AM	7:39AM	7:44AM	7:56AM
6	N	N	7:46AM	7:57AM	8:03AM	8:05AM	8:09AM	8:14AM	8:26AM
7	N	N	8:16AM	8:27AM	8:33AM	8:35AM	8:39AM	8:44AM	8:56AM
8	N	N	8:46AM	8:57AM	9:03AM	9:05AM	9:09AM	9:14AM	9:26AM
9	N	N	9:16AM	9:27AM	9:33AM	9:35AM	9:39AM	9:44AM	9:56AM
10	N	N	9:46AM	9:57AM	10:03AM	10:05AM	10:09AM	10:14AM	10:26AM
11	N	N	10:16AM	10:27AM	10:33AM	10:35AM	10:39AM	10:44AM	10:56AM
12	N	N	10:46AM	10:57AM	11:03AM	11:05AM	11:09AM	11:14AM	11:26AM
13	N	N	11:16AM	11:27AM	11:33AM	11:35AM	11:39AM	11:44AM	11:56AM
14	N	N	11:46AM	11:57AM	12:03PM	12:05PM	12:09PM	12:14PM	12:26PM
15	N	N	12:16PM	12:27PM	12:33PM	12:35PM	12:39PM	12:44PM	12:56PM
16	N	N	12:46PM	12:57PM	1:03PM	1:05PM	1:09PM	1:14PM	1:26PM
17	N	N	1:16PM	1:27PM	1:33PM	1:35PM	1:39PM	1:44PM	1:56PM
18	N	N	1:46PM	1:57PM	2:03PM	2:05PM	2:09PM	2:14PM	2:26PM
19	N	N	2:16PM	2:27PM	2:33PM	2:35PM	2:39PM	2:44PM	2:56PM
20	N	N	2:45PM	2:56PM	3:02PM	3:04PM	3:08PM	3:14PM	3:26PM
21	N	N	3:12PM	3:26PM	3:32PM	3:34PM	3:38PM	3:44PM	3:56PM
22	N	N	3:42PM	3:56PM	4:02PM	4:04PM	4:08PM	4:14PM	4:26PM
23	N	N	4:12PM	4:26PM	4:32PM	4:34PM	4:38PM	4:44PM	4:56PM
24	N	N	4:42PM	4:56PM	5:02PM	5:04PM	5:08PM	5:14PM	5:26PM
25	N	N	5:12PM	5:26PM	5:32PM	5:34PM	5:38PM	5:44PM	5:56PM
26	N	N	5:43PM	5:57PM	6:03PM	6:05PM	6:09PM	6:14PM	6:26PM
27	N	N	6:16PM	6:27PM	6:33PM	6:35PM	6:39PM	6:44PM	6:56PM
28	N	N	6:46PM	6:57PM	7:03PM	7:05PM	7:09PM	7:14PM	7:26PM
29	N	N	7:16PM	7:27PM	7:33PM	7:35PM	7:39PM	7:44PM	7:56PM
30	N	N	7:46PM	7:57PM	8:03PM	8:05PM	8:09PM	8:14PM	8:26PM
31	N	N	8:16PM	8:27PM	8:33PM	8:35PM	8:39PM	8:44PM	8:56PM
32	N	N	8:46PM	8:57PM	9:03PM	9:05PM	9:09PM	9:14PM	9:26PM
33	N	N	9:16PM	9:27PM	9:33PM	9:35PM	9:39PM	9:44PM	9:56PM
34	N	N	9:46PM	9:57PM	10:03PM	10:05PM	10:09PM	10:14PM	10:26PM
35	N	N	10:16PM	10:27PM	10:33PM	10:35PM	10:39PM	10:44PM	10:56PM
36	N	N	10:46PM	10:57PM	11:03PM	11:05PM	11:09PM	11:14PM	11:26PM
37	N	N	11:16PM	11:27PM	11:33PM	11:35PM	11:39PM	11:44PM	11:56PM
38	N	N	11:46PM	11:57PM	12:03AM	12:05AM	12:09AM	12:14AM	12:26AM
39	N	N	12:16AM	12:27AM	12:33AM	12:35AM	12:39AM	12:44AM	12:56AM
40	B	S	5:38AM	5:25AM	5:20AM	5:18AM	5:15AM	5:10AM	4:58AM
41	B	S	6:08AM	5:55AM	5:50AM	5:48AM	5:45AM	5:40AM	5:28AM
42	B	S	6:38AM	6:25AM	6:20AM	6:18AM	6:15AM	6:10AM	5:58AM
43	B	S	7:08AM	6:55AM	6:50AM	6:48AM	6:45AM	6:40AM	6:28AM
44	B	S	7:38AM	7:25AM	7:20AM	7:18AM	7:15AM	7:10AM	6:58AM
45	B	S	8:08AM	7:55AM	7:50AM	7:48AM	7:45AM	7:40AM	7:28AM
46	B	S	8:38AM	8:25AM	8:20AM	8:18AM	8:15AM	8:10AM	7:58AM
47	B	S	9:08AM	8:55AM	8:50AM	8:48AM	8:45AM	8:40AM	8:28AM
48	B	S	9:38AM	9:25AM	9:20AM	9:18AM	9:15AM	9:10AM	8:58AM
49	B	S	10:08AM	9:55AM	9:50AM	9:48AM	9:45AM	9:40AM	9:28AM
50	B	S	10:38AM	10:25AM	10:20AM	10:18AM	10:15AM	10:10AM	9:58AM
51	B	S	11:08AM	10:55AM	10:50AM	10:48AM	10:45AM	10:40AM	10:28AM
52	B	S	11:38AM	11:25AM	11:20AM	11:18AM	11:15AM	11:10AM	10:58AM
53	B	S	12:08PM	11:55AM	11:50AM	11:48AM	11:45AM	11:40AM	11:28AM
54	B	S	12:38PM	12:25PM	12:20PM	12:18PM	12:15PM	12:10PM	11:58AM
55	B	S	1:08PM	12:55PM	12:50PM	12:48PM	12:45PM	12:40PM	12:28PM
56	B	S	1:38PM	1:25PM	1:20PM	1:18PM	1:15PM	1:10PM	12:58PM
57	B	S	2:08PM	1:55PM	1:50PM	1:48PM	1:45PM	1:40PM	1:28PM
58	B	S	2:39PM	2:25PM	2:20PM	2:18PM	2:15PM	2:10PM	1:58PM
59	B	S	3:15PM	3:00PM	2:52PM	2:50PM	2:46PM	2:40PM	2:28PM
60	B	S	3:45PM	3:30PM	3:22PM	3:20PM	3:16PM	3:10PM	2:58PM
61	B	S	4:15PM	4:00PM	3:52PM	3:50PM	3:46PM	3:40PM	3:28PM
62	B	S	4:45PM	4:30PM	4:22PM	4:20PM	4:16PM	4:10PM	3:58PM
63	B	S	5:15PM	5:00PM	4:52PM	4:50PM	4:46PM	4:40PM	4:28PM
64	B	S	5:45PM	5:30PM	5:22PM	5:20PM	5:16PM	5:10PM	4:58PM
65	B	S	6:15PM	6:00PM	5:52PM	5:50PM	5:46PM	5:40PM	5:28PM
66	B	S	6:45PM	6:30PM	6:22PM	6:20PM	6:16PM	6:10PM	5:58PM
67	B	S	7:15PM	7:00PM	6:52PM	6:50PM	6:46PM	6:40PM	6:28PM
68	B	S	7:43PM	7:30PM	7:22PM	7:20PM	7:16PM	7:10PM	6:58PM
69	B	S	8:08PM	7:55PM	7:50PM	7:48PM	7:45PM	7:40PM	7:28PM
70	B	S	8:38PM	8:25PM	8:20PM	8:18PM	8:15PM	8:10PM	7:58PM
71	B	S	9:08PM	8:55PM	8:50PM	8:48PM	8:45PM	8:40PM	8:28PM
72	B	S	9:38PM	9:25PM	9:20PM	9:18PM	9:15PM	9:10PM	8:58PM
73	B	S	10:08PM	9:55PM	9:50PM	9:48PM	9:45PM	9:40PM	9:28PM
74	B	S	10:38PM	10:25PM	10:20PM	10:18PM	10:15PM	10:10PM	9:58PM
75	B	S	11:08PM	10:55PM	10:50PM	10:48PM	10:45PM	10:40PM	10:28PM
76	B	S	11:38PM	11:25PM	11:20PM	11:18PM	11:15PM	11:10PM	10:58PM
77	B	S	12:08AM	11:55PM	11:50PM	11:48PM	11:45PM	11:40PM	11:28PM
78	B	S	12:38AM	12:25AM	12:20AM	12:18AM	12:15AM	12:10AM	11:58PM
