number	type	direction	stop|Broadway Rd & 19th Ave|0|1	stop|Broadway Rd & Central Ave|50|1	stop|Broadway Rd & 24th St|100|1	stop|Broadway Rd & 32nd St|150|1	stop|Broadway Rd & 48th St|200|1	stop|Broadway Rd & Hardy Dr|250|1	stop|Broadway Rd & Rural Rd|300|1	stop|Broadway Rd & Price Rd|350|1	stop|Main St & Sycamore Dr|400|1	stop|Broadway Rd & Pomeroy|450|1	stop|Broadway Rd & Mesa Dr|500|1	stop|Broadway Rd & Gilbert Rd|550|1	stop|Broadway Rd & Greenfield Rd|600|1	stop|Power Rd & Baywood Ave|650|1	stop|Superstition Springs Transit Center|700|1	stop|Price Rd & Broadway Rd|750|1
1	N	E	4:35AM	4:29AM	4:19AM	4:14AM	4:08AM	-	-	-	-	-	-	-	-	-	-	-
2	N	E	5:05AM	4:59AM	4:49AM	4:44AM	4:38AM	-	-	-	-	-	-	-	-	-	-	-
3	N	E	5:35AM	5:29AM	5:19AM	5:14AM	5:08AM	5:01AM	4:54AM	4:45AM	-	-	-	-	-	-	-	-
4	N	E	6:05AM	5:59AM	5:49AM	5:44AM	5:38AM	5:31AM	5:24AM	5:15AM	-	-	-	-	-	-	-	-
5	N	E	6:40AM	6:34AM	6:23AM	6:17AM	6:09AM	6:01AM	5:54AM	5:45AM	5:35AM	5:17AM	-	5:08AM	4:58AM	-	4:38AM	-
6	N	E	6:57AM	6:51AM	6:40AM	6:34AM	6:26AM	6:18AM	6:10AM	6:00AM	-	-	-	-	-	-	-	-
7	N	E	7:12AM	7:06AM	6:55AM	6:49AM	6:41AM	6:33AM	6:25AM	6:15AM	6:04AM	5:46AM	-	5:37AM	5:27AM	-	5:07AM	-
8	N	E	7:27AM	7:21AM	7:10AM	7:04AM	6:56AM	6:48AM	6:40AM	6:30AM	-	-	-	-	-	-	-	-
9	N	E	7:42AM	7:36AM	7:25AM	7:19AM	7:11AM	7:03AM	6:55AM	6:45AM	6:34AM	6:15AM	-	6:03AM	5:53AM	-	5:33AM	-
10	N	E	7:57AM	7:51AM	7:40AM	7:34AM	7:26AM	7:18AM	7:10AM	7:00AM	-	-	-	-	-	-	-	-
11	N	E	8:12AM	8:06AM	7:55AM	7:49AM	7:41AM	7:33AM	7:25AM	7:15AM	7:04AM	6:45AM	-	6:33AM	6:21AM	-	6:00AM	-
12	N	E	8:27AM	8:21AM	8:10AM	8:04AM	7:56AM	7:48AM	7:40AM	7:30AM	-	-	-	-	-	-	-	-
13	N	E	8:42AM	8:36AM	8:25AM	8:19AM	8:11AM	8:03AM	7:55AM	7:45AM	7:34AM	7:15AM	-	7:03AM	6:51AM	-	6:30AM	-
14	N	E	8:57AM	8:51AM	8:40AM	8:34AM	8:26AM	8:18AM	8:10AM	8:00AM	-	-	-	-	-	-	-	-
15	N	E	9:11AM	9:05AM	8:55AM	8:49AM	8:41AM	8:33AM	8:25AM	8:15AM	8:04AM	7:45AM	-	7:33AM	7:21AM	-	7:00AM	-
16	N	E	9:20AM	9:14AM	9:04AM	8:59AM	8:51AM	-	-	-	-	-	-	-	-	-	-	-
17	N	E	9:37AM	9:31AM	9:21AM	9:16AM	9:09AM	9:02AM	8:55AM	8:45AM	8:34AM	8:15AM	-	8:03AM	7:51AM	-	7:30AM	-
18	N	E	10:05AM	9:59AM	9:49AM	9:44AM	9:37AM	9:30AM	9:24AM	9:15AM	9:04AM	8:45AM	-	8:33AM	8:21AM	-	8:00AM	-
19	N	E	10:35AM	10:29AM	10:19AM	10:14AM	10:07AM	10:00AM	9:54AM	9:45AM	9:34AM	9:15AM	-	9:05AM	8:53AM	-	8:32AM	-
20	N	E	11:05AM	10:59AM	10:49AM	10:44AM	10:37AM	10:30AM	10:24AM	10:15AM	10:04AM	9:45AM	-	9:35AM	9:24AM	-	9:03AM	-
