number	type	direction	stop|Guadalupe Rd & Shannon Dr|0|1	stop|Guadalupe Rd & Lakeshore Dr|50|1	stop|Guadalupe Rd & Kyrene Rd|100|1	stop|Hardy Dr & Baseline Rd|150|1	stop|Hardy Dr & University Dr|200|1	stop|Tempe Transportation Center|250|1	stop|Tempe Marketplace|300|1
1	N	E	4:55AM	5:00AM	5:05AM	5:11AM	5:22AM	5:32AM	5:44AM
2	N	E	5:25AM	5:30AM	5:35AM	5:41AM	5:52AM	6:02AM	6:14AM
3	N	E	5:55AM	6:00AM	6:05AM	6:11AM	6:22AM	6:32AM	6:44AM
4	N	E	6:25AM	6:30AM	6:35AM	6:41AM	6:52AM	7:02AM	7:14AM
5	N	E	6:55AM	7:00AM	7:05AM	7:11AM	7:22AM	7:32AM	7:44AM
6	N	E	7:25AM	7:30AM	7:35AM	7:41AM	7:52AM	8:02AM	8:14AM
7	N	E	7:55AM	8:00AM	8:05AM	8:11AM	8:22AM	8:32AM	8:44AM
8	N	E	8:25AM	8:30AM	8:35AM	8:41AM	8:52AM	9:02AM	9:14AM
9	N	E	8:55AM	9:00AM	9:05AM	9:11AM	9:22AM	9:32AM	9:44AM
10	N	E	9:25AM	9:30AM	9:35AM	9:41AM	9:52AM	10:02AM	10:14AM
11	N	E	9:55AM	10:00AM	10:05AM	10:11AM	10:22AM	10:32AM	10:44AM
12	N	E	10:25AM	10:30AM	10:35AM	10:41AM	10:52AM	11:02AM	11:14AM
13	N	E	10:55AM	11:00AM	11:05AM	11:11AM	11:22AM	11:32AM	11:44AM
14	N	E	11:25AM	11:30AM	11:35AM	11:41AM	11:52AM	12:02PM	12:14PM
15	N	E	11:55AM	12:00PM	12:05PM	12:11PM	12:22PM	12:32PM	12:44PM
16	N	E	12:25PM	12:30PM	12:35PM	12:41PM	12:52PM	1:02PM	1:14PM
17	N	E	12:55PM	1:00PM	1:05PM	1:11PM	1:22PM	1:32PM	1:44PM
18	N	E	-	1:25PM	1:30PM	1:36PM	1:47PM	1:57PM	-
19	N	E	1:25PM	1:30PM	1:35PM	1:41PM	1:52PM	2:02PM	2:14PM
20	N	E	1:55PM	2:00PM	2:05PM	2:11PM	2:22PM	2:32PM	2:44PM
21	N	E	2:25PM	2:30PM	2:35PM	2:41PM	2:52PM	3:02PM	3:14PM
22	N	E	-	2:52PM	2:57PM	3:03PM	3:14PM	3:24PM	-
23	N	E	2:55PM	3:00PM	3:05PM	3:11PM	3:22PM	3:32PM	3:44PM
24	N	E	3:25PM	3:30PM	3:35PM	3:41PM	3:52PM	4:02PM	4:14PM
25	N	E	3:55PM	4:00PM	4:05PM	4:11PM	4:22PM	4:32PM	4:44PM
26	N	E	4:25PM	4:30PM	4:35PM	4:41PM	4:52PM	5:02PM	5:14PM
27	N	E	4:55PM	5:00PM	5:05PM	5:11PM	5:22PM	5:32PM	5:44PM
28	N	E	5:25PM	5:30PM	5:35PM	5:41PM	5:52PM	6:02PM	6:14PM
29	N	E	5:55PM	6:00PM	6:05PM	6:11PM	6:22PM	6:32PM	6:44PM
