number	type	direction	stop|Chandler Fashion Center|0|1	stop|Mcclintock Dr & Chandler Blvd|50|1	stop|Mcclintock Dr & Warner Rd|100|1	stop|Centennial Cir & River Pkwy|150|1	stop|Mcclintock Dr & Guadalupe Rd|200|1	stop|Mcclintock Dr & Southern Ave|250|1	stop|Mcclintock Dr & Apache Blvd|300|1	stop|Tempe Marketplace|350|1	stop|Hayden Rd & Mcdowell Rd|400|1	stop|Hayden Rd & Camelback Rd|450|1	stop|Eb Indian Bend Rd Fs Hayden Rd|500|1	stop|Pima Rd & Indian Bend Rd|550|1	stop|90th St & Shea Blvd|600|1	stop|Northsight Blvd & Raintree Dr|650|1
1	N	N	-	-	-	4:49AM	4:58AM	5:04AM	5:12AM	5:20AM	5:29AM	5:38AM	5:44AM	5:47AM	5:57AM	6:11AM
2	N	N	-	-	-	5:19AM	5:28AM	5:34AM	5:42AM	5:50AM	5:59AM	6:09AM	6:16AM	6:19AM	6:31AM	6:45AM
3	N	N	5:43AM	5:46AM	5:51AM	-	5:57AM	6:04AM	6:12AM	6:20AM	6:30AM	6:40AM	6:47AM	6:50AM	7:02AM	7:16AM
4	N	N	-	-	-	6:02AM	6:11AM	6:19AM	6:27AM	6:35AM	-	-	-	-	-	-
5	N	N	6:09AM	6:13AM	6:20AM	-	6:26AM	6:34AM	6:42AM	6:50AM	7:00AM	7:10AM	7:17AM	7:20AM	7:32AM	7:46AM
6	N	N	-	-	-	6:32AM	6:41AM	6:49AM	6:57AM	7:05AM	-	-	-	-	-	-
7	N	N	6:39AM	6:43AM	6:50AM	-	6:56AM	7:04AM	7:12AM	7:20AM	7:30AM	7:40AM	7:47AM	7:50AM	8:02AM	8:16AM
8	N	N	-	-	-	7:02AM	7:11AM	7:19AM	7:27AM	7:35AM	-	-	-	-	-	-
9	N	N	7:09AM	7:13AM	7:20AM	-	7:26AM	7:34AM	7:42AM	7:50AM	8:00AM	8:10AM	8:17AM	8:20AM	8:32AM	8:46AM
10	N	N	-	-	-	7:32AM	7:41AM	7:49AM	7:57AM	8:05AM	-	-	-	-	-	-
11	N	N	7:39AM	7:43AM	7:50AM	-	7:56AM	8:04AM	8:12AM	8:20AM	8:30AM	8:40AM	8:47AM	8:50AM	9:02AM	9:14AM
12	N	N	-	-	-	8:02AM	8:11AM	8:19AM	8:27AM	8:35AM	-	-	-	-	-	-
