number	type	direction	stop|Ikea|0|1	stop|Hardy Dr & Warner Rd|3.49|1	stop|Kyrene Rd & Guadalupe Rd|5.49|1	stop|Mill Ave & Baseline Rd|6.89|1	stop|Mill Ave & Broadway Rd|8.90|1	stop|Tempe Transportation Center|10.44|1
1	N	N	5:07AM	5:11AM	5:21AM	5:27AM	5:36AM	5:45AM
2	N	N	5:37AM	5:41AM	5:51AM	5:57AM	6:06AM	6:15AM
3	N	N	6:07AM	6:11AM	6:21AM	6:27AM	6:36AM	6:45AM
4	N	N	6:37AM	6:41AM	6:51AM	6:57AM	7:06AM	7:15AM
5	N	N	7:07AM	7:11AM	7:21AM	7:27AM	7:36AM	7:45AM
6	N	N	7:37AM	7:41AM	7:51AM	7:57AM	8:06AM	8:15AM
7	N	N	8:07AM	8:11AM	8:21AM	8:27AM	8:35AM	8:44AM
8	N	N	8:39AM	8:43AM	8:52AM	8:57AM	9:05AM	9:14AM
9	N	N	9:09AM	9:13AM	9:22AM	9:27AM	9:35AM	9:44AM
10	N	N	9:39AM	9:43AM	9:52AM	9:57AM	10:05AM	10:14AM
11	N	N	10:09AM	10:13AM	10:22AM	10:27AM	10:35AM	10:44AM
12	N	N	10:39AM	10:43AM	10:52AM	10:57AM	11:05AM	11:14AM
13	N	N	11:09AM	11:13AM	11:22AM	11:27AM	11:35AM	11:44AM
14	N	N	11:39AM	11:43AM	11:52AM	11:57AM	12:05PM	12:14PM
15	N	N	12:09PM	12:13PM	12:22PM	12:27PM	12:35PM	12:44PM
16	N	N	12:39PM	12:43PM	12:52PM	12:57PM	1:05PM	1:14PM
17	N	N	1:09PM	1:13PM	1:22PM	1:27PM	1:35PM	1:44PM
18	N	N	1:39PM	1:43PM	1:52PM	1:57PM	2:05PM	2:14PM
19	N	N	2:09PM	2:13PM	2:22PM	2:27PM	2:35PM	2:44PM
20	N	N	2:39PM	2:43PM	2:52PM	2:57PM	3:06PM	3:15PM
21	N	N	3:06PM	3:10PM	3:21PM	3:27PM	3:36PM	3:45PM
22	N	N	3:36PM	3:40PM	3:51PM	3:57PM	4:06PM	4:15PM
23	N	N	4:06PM	4:10PM	4:21PM	4:27PM	4:36PM	4:45PM
24	N	N	4:36PM	4:40PM	4:51PM	4:57PM	5:06PM	5:15PM
25	N	N	5:06PM	5:10PM	5:21PM	5:27PM	5:36PM	5:45PM
26	N	N	5:36PM	5:40PM	5:51PM	5:57PM	6:06PM	6:15PM
27	N	N	6:06PM	6:10PM	6:21PM	6:27PM	6:36PM	6:45PM
28	N	N	6:36PM	6:40PM	6:51PM	6:57PM	7:05PM	7:14PM
29	N	N	7:26PM	7:30PM	7:39PM	7:44PM	7:52PM	8:01PM
30	N	N	8:24PM	8:28PM	8:37PM	8:42PM	8:50PM	8:59PM
31	N	N	9:24PM	9:28PM	9:37PM	9:42PM	9:50PM	9:59PM
32	N	N	10:24PM	10:28PM	10:37PM	10:42PM	10:50PM	10:59PM
33	N	N	11:24PM	11:28PM	11:37PM	11:42PM	11:50PM	11:59PM
34	N	N	12:24AM	12:28AM	12:37AM	12:42AM	12:50AM	12:59AM
35	B	S	6:00AM	5:55AM	5:45AM	5:38AM	5:30AM	5:22AM
36	B	S	6:30AM	6:25AM	6:15AM	6:08AM	6:00AM	5:52AM
37	B	S	7:00AM	6:55AM	6:45AM	6:38AM	6:30AM	6:22AM
38	B	S	7:30AM	7:25AM	7:15AM	7:08AM	7:00AM	6:52AM
39	B	S	8:00AM	7:55AM	7:45AM	7:38AM	7:30AM	7:22AM
40	B	S	8:30AM	8:25AM	8:15AM	8:08AM	8:00AM	7:52AM
41	B	S	8:58AM	8:53AM	8:44AM	8:38AM	8:30AM	8:22AM
42	B	S	9:28AM	9:23AM	9:14AM	9:08AM	9:00AM	8:52AM
