number	type	direction	stop|Lone Butte Casino|0|1	stop|Kyrene Rd & Warner Rd|1.21|1	stop|Kyrene Rd & Guadalupe Rd|3.69|1	stop|Mill Ave & Baseline Rd|5.09|1	stop|Mill Ave & Broadway Rd|7.10|1	stop|Tempe Transportation Center|8.64|1
1	N	N	4:51AM	5:02AM	5:08AM	5:14AM	5:23AM	5:32AM
2	N	N	5:21AM	5:32AM	5:38AM	5:44AM	5:53AM	6:02AM
3	N	N	5:51AM	6:02AM	6:08AM	6:14AM	6:23AM	6:32AM
4	N	N	6:21AM	6:32AM	6:38AM	6:44AM	6:53AM	7:02AM
5	N	N	6:51AM	7:02AM	7:08AM	7:14AM	7:23AM	7:32AM
6	N	N	7:21AM	7:32AM	7:38AM	7:44AM	7:53AM	8:02AM
7	N	N	7:51AM	8:02AM	8:08AM	8:14AM	8:23AM	8:32AM
8	N	N	8:21AM	8:32AM	8:37AM	8:42AM	8:50AM	8:59AM
9	N	N	8:51AM	9:01AM	9:06AM	9:11AM	9:19AM	9:28AM
10	N	N	9:21AM	9:31AM	9:36AM	9:41AM	9:49AM	9:58AM
11	N	N	9:51AM	10:01AM	10:06AM	10:11AM	10:19AM	10:28AM
12	N	N	10:21AM	10:31AM	10:36AM	10:41AM	10:49AM	10:58AM
13	N	N	10:51AM	11:01AM	11:06AM	11:11AM	11:19AM	11:28AM
14	N	N	11:21AM	11:31AM	11:36AM	11:41AM	11:49AM	11:58AM
15	N	N	11:51AM	12:01PM	12:06PM	12:11PM	12:19PM	12:28PM
16	N	N	12:21PM	12:31PM	12:36PM	12:41PM	12:49PM	12:58PM
17	N	N	12:51PM	1:01PM	1:06PM	1:11PM	1:19PM	1:28PM
18	N	N	1:21PM	1:31PM	1:36PM	1:41PM	1:49PM	1:58PM
19	N	N	1:51PM	2:01PM	2:06PM	2:11PM	2:19PM	2:28PM
20	N	N	2:21PM	2:31PM	2:36PM	2:41PM	2:49PM	2:58PM
21	N	N	2:51PM	3:01PM	3:07PM	3:13PM	3:22PM	3:31PM
22	N	N	3:21PM	3:32PM	3:38PM	3:44PM	3:53PM	4:02PM
23	N	N	3:51PM	4:02PM	4:08PM	4:14PM	4:23PM	4:32PM
24	N	N	4:21PM	4:32PM	4:38PM	4:44PM	4:53PM	5:02PM
25	N	N	4:51PM	5:02PM	5:08PM	5:14PM	5:23PM	5:32PM
26	N	N	5:21PM	5:32PM	5:38PM	5:44PM	5:53PM	6:02PM
27	N	N	5:51PM	6:02PM	6:08PM	6:14PM	6:23PM	6:32PM
28	N	N	6:21PM	6:32PM	6:38PM	6:44PM	6:53PM	7:02PM
29	N	N	6:51PM	7:02PM	7:07PM	7:12PM	7:20PM	7:29PM
30	N	N	7:51PM	8:01PM	8:06PM	8:11PM	8:19PM	8:28PM
31	N	N	8:51PM	9:01PM	9:06PM	9:11PM	9:19PM	9:28PM
32	N	N	9:51PM	10:01PM	10:06PM	10:11PM	10:19PM	10:28PM
33	N	N	10:51PM	11:01PM	11:06PM	11:11PM	11:19PM	11:28PM
34	N	N	11:51PM	12:01AM	12:06AM	12:11AM	12:19AM	12:28AM
35	B	S	6:15AM	6:04AM	5:57AM	5:50AM	5:41AM	5:33AM
36	B	S	6:45AM	6:34AM	6:27AM	6:20AM	6:11AM	6:03AM
37	B	S	7:15AM	7:04AM	6:57AM	6:50AM	6:41AM	6:33AM
38	B	S	7:45AM	7:34AM	7:27AM	7:20AM	7:11AM	7:03AM
39	B	S	8:15AM	8:04AM	7:57AM	7:50AM	7:41AM	7:33AM
40	B	S	8:45AM	8:35AM	8:29AM	8:22AM	8:13AM	8:05AM
41	B	S	9:15AM	9:05AM	8:59AM	8:53AM	8:45AM	8:37AM
42	B	S	9:45AM	9:35AM	9:29AM	9:23AM	9:15AM	9:07AM
43	B	S	10:15AM	10:05AM	9:59AM	9:53AM	9:45AM	9:37AM
44	B	S	10:45AM	10:35AM	10:29AM	10:23AM	10:15AM	10:07AM
45	B	S	11:15AM	11:05AM	10:59AM	10:53AM	10:45AM	10:37AM
46	B	S	11:45AM	11:35AM	11:29AM	11:23AM	11:15AM	11:07AM
47	B	S	12:15PM	12:05PM	11:59AM	11:53AM	11:45AM	11:37AM
48	B	S	12:45PM	12:35PM	12:29PM	12:23PM	12:15PM	12:07PM
49	B	S	1:15PM	1:05PM	12:59PM	12:53PM	12:45PM	12:37PM
50	B	S	1:45PM	1:35PM	1:29PM	1:23PM	1:15PM	1:07PM
51	B	S	2:15PM	2:05PM	1:59PM	1:53PM	1:45PM	1:37PM
52	B	S	2:45PM	2:35PM	2:29PM	2:23PM	2:15PM	2:07PM
53	B	S	3:15PM	3:04PM	2:57PM	2:51PM	2:43PM	2:35PM
54	B	S	3:45PM	3:34PM	3:27PM	3:21PM	3:11PM	3:02PM
55	B	S	4:15PM	4:04PM	3:57PM	3:51PM	3:41PM	3:32PM
56	B	S	4:45PM	4:34PM	4:27PM	4:21PM	4:11PM	4:02PM
57	B	S	5:15PM	5:04PM	4:57PM	4:51PM	4:41PM	4:32PM
58	B	S	5:45PM	5:34PM	5:27PM	5:21PM	5:11PM	5:02PM
59	B	S	6:15PM	6:04PM	5:57PM	5:51PM	5:41PM	5:32PM
60	B	S	6:45PM	6:34PM	6:27PM	6:21PM	6:11PM	6:02PM
61	B	S	7:15PM	7:05PM	6:59PM	6:53PM	6:43PM	6:34PM
62	B	S	7:45PM	7:35PM	7:29PM	7:23PM	7:15PM	7:07PM
63	B	S	8:45PM	8:35PM	8:29PM	8:23PM	8:15PM	8:07PM
64	B	S	9:45PM	9:35PM	9:29PM	9:23PM	9:15PM	9:07PM
65	B	S	10:45PM	10:35PM	10:29PM	10:23PM	10:15PM	10:07PM
66	B	S	11:45PM	11:35PM	11:29PM	11:23PM	11:15PM	11:07PM
67	B	S	-	12:34AM	12:28AM	12:22AM	12:14AM	12:06AM
