number	type	direction	stop|Ray Rd & 48th St|0|1	stop|Priest Dr & Ray Rd|50|1	stop|Priest Dr Dr & Elliot Rd|100|1	stop|Priest Dr & Baseline Rd|150|1	stop|Priest Dr & Southern Ave|200|1	stop|Priest Dr & University Dr|250|1	stop|Priest Dr & Washington St|300|1	stop|The Phoenix Zoo|350|1	stop|Desert Botanical Garden|400|1	stop|McDowell Rd & Scottsdale Rd|450|1
1	N	N	4:33AM	4:38AM	4:44AM	4:52AM	4:57AM	5:05AM	5:10AM	-	-	-
2	N	N	5:03AM	5:08AM	5:14AM	5:22AM	5:27AM	5:35AM	5:40AM	5:46AM	5:53AM	6:01AM
3	N	N	-	-	5:44AM	5:52AM	5:57AM	6:05AM	6:10AM	-	-	-
4	N	N	5:48AM	5:53AM	5:59AM	6:07AM	6:12AM	6:20AM	6:25AM	6:31AM	6:38AM	6:46AM
5	N	N	-	-	6:14AM	6:22AM	6:27AM	6:35AM	6:40AM	-	-	-
6	N	N	6:18AM	6:23AM	6:29AM	6:37AM	6:42AM	6:50AM	6:55AM	7:01AM	7:08AM	7:16AM
7	N	N	-	-	6:43AM	6:51AM	6:56AM	7:05AM	7:10AM	-	-	-
8	N	N	6:46AM	6:51AM	6:57AM	7:06AM	7:11AM	7:20AM	7:25AM	7:31AM	7:38AM	7:46AM
9	N	N	-	-	7:11AM	7:21AM	7:26AM	7:35AM	7:40AM	-	-	-
10	N	N	7:15AM	7:20AM	7:26AM	7:36AM	7:41AM	7:50AM	7:55AM	8:01AM	8:08AM	8:16AM
11	N	N	-	-	7:41AM	7:51AM	7:56AM	8:05AM	8:10AM	-	-	-
12	N	N	7:45AM	7:50AM	7:56AM	8:06AM	8:11AM	8:20AM	8:25AM	8:31AM	8:38AM	8:46AM
13	N	N	8:15AM	8:20AM	8:26AM	8:36AM	8:41AM	8:50AM	8:55AM	9:01AM	9:08AM	9:16AM
14	N	N	8:47AM	8:52AM	8:58AM	9:07AM	9:12AM	9:20AM	9:25AM	9:31AM	9:38AM	9:46AM
15	N	N	9:17AM	9:22AM	9:28AM	9:37AM	9:42AM	9:50AM	9:55AM	10:01AM	10:08AM	10:16AM
16	N	N	9:47AM	9:52AM	9:58AM	10:07AM	10:12AM	10:20AM	10:25AM	10:31AM	10:38AM	10:46AM
17	N	N	10:17AM	10:22AM	10:28AM	10:37AM	10:42AM	10:50AM	10:55AM	11:01AM	11:08AM	11:16AM
18	N	N	10:47AM	10:52AM	10:58AM	11:07AM	11:12AM	11:20AM	11:25AM	11:31AM	11:38AM	11:46AM
19	N	N	11:17AM	11:22AM	11:28AM	11:37AM	11:42AM	11:50AM	11:55AM	12:01PM	12:08PM	12:16PM
20	N	N	11:47AM	11:52AM	11:58AM	12:07PM	12:12PM	12:20PM	12:25PM	12:31PM	12:38PM	12:46PM
21	N	N	12:17PM	12:22PM	12:28PM	12:37PM	12:42PM	12:50PM	12:55PM	1:01PM	1:08PM	1:16PM
22	N	N	12:47PM	12:52PM	12:58PM	1:07PM	1:12PM	1:20PM	1:25PM	1:31PM	1:38PM	1:46PM
23	N	N	1:17PM	1:22PM	1:28PM	1:37PM	1:42PM	1:50PM	1:55PM	2:01PM	2:08PM	2:16PM
24	N	N	1:47PM	1:52PM	1:58PM	2:07PM	2:12PM	2:20PM	2:25PM	2:31PM	2:38PM	2:46PM
25	N	N	2:17PM	2:22PM	2:28PM	2:37PM	2:42PM	2:50PM	2:55PM	3:01PM	3:08PM	3:16PM
26	N	N	2:47PM	2:52PM	2:58PM	3:07PM	3:12PM	3:20PM	3:25PM	3:31PM	3:38PM	3:46PM
27	N	N	-	-	3:13PM	3:22PM	3:27PM	3:35PM	3:40PM	-	-	-
28	N	N	3:17PM	3:22PM	3:28PM	3:37PM	3:42PM	3:50PM	3:55PM	4:01PM	4:08PM	4:16PM
29	N	N	-	-	3:43PM	3:52PM	3:57PM	4:05PM	4:10PM	-	-	-
30	N	N	3:47PM	3:52PM	3:58PM	4:07PM	4:12PM	4:20PM	4:25PM	4:31PM	4:38PM	4:46PM
31	N	N	-	-	4:13PM	4:22PM	4:27PM	4:35PM	4:40PM	-	-	-
32	N	N	4:17PM	4:22PM	4:28PM	4:37PM	4:42PM	4:50PM	4:55PM	5:01PM	5:08PM	5:16PM
33	N	N	-	-	4:43PM	4:52PM	4:57PM	5:05PM	5:10PM	-	-	-
