number	type	direction	stop|Chandler Fashion Center|0|1	stop|Rural Rd & Chandler Blvd|50|1	stop|Rural Rd & Ray Rd|100|1	stop|Rural Rd & Elliot Rd|150|1	stop|Rural Rd & Southern Ave|200|1	stop|Tempe Transportation Center|250|1	stop|Scottsdale Rd & Mcdowell Rd|300|1	stop|Scottsdale Rd & Camelback Rd|350|1	stop|Scottsdale Rd & Lincoln Dr|400|1	stop|Scottsdale Rd & Shea Blvd|450|1	stop|Scottsdale Park And Ride|500|1	stop|Scottsdale Rd & Frank Lloyd Wright Blvd|550|1	stop|Thompson Peak Pkwy & Scottsdale Healthcare Dr|600|1	stop|Camelback Rd & Scottsdale Rd|650|1
1	N	N	-	-	-	-	-	5:18AM	5:34AM	-	-	-	-	-	-	5:44AM
2	N	N	-	-	4:57AM	5:03AM	5:14AM	5:28AM	5:44AM	5:54AM	6:02AM	6:11AM	6:16AM	6:25AM	6:35AM	-
3	N	N	-	-	-	-	-	5:38AM	5:54AM	-	-	-	-	-	-	6:04AM
4	N	N	5:08AM	5:14AM	5:17AM	5:23AM	5:34AM	5:48AM	6:04AM	6:14AM	6:22AM	6:31AM	6:39AM	6:49AM	6:59AM	-
5	N	N	-	-	-	-	-	5:58AM	6:14AM	-	-	-	-	-	-	6:24AM
6	N	N	5:28AM	5:34AM	5:37AM	5:43AM	5:54AM	6:08AM	6:24AM	6:35AM	6:45AM	6:58AM	7:06AM	7:16AM	7:26AM	-
7	N	N	-	-	-	-	-	6:18AM	6:35AM	6:48AM	6:58AM	7:11AM	7:19AM	-	-	-
8	N	N	5:48AM	5:54AM	5:57AM	6:03AM	6:14AM	6:28AM	6:48AM	7:01AM	7:11AM	7:24AM	7:32AM	7:42AM	7:52AM	-
9	N	N	-	-	-	-	-	6:38AM	6:58AM	7:11AM	7:21AM	7:34AM	7:42AM	-	-	-
10	N	N	6:05AM	6:11AM	6:14AM	6:20AM	6:31AM	6:48AM	7:08AM	7:21AM	7:31AM	7:44AM	7:52AM	8:02AM	8:12AM	-
11	N	N	-	-	-	-	-	6:58AM	7:18AM	7:31AM	7:41AM	7:54AM	8:02AM	-	-	-
12	N	N	6:23AM	6:29AM	6:32AM	6:38AM	6:51AM	7:08AM	7:28AM	7:41AM	7:51AM	8:04AM	8:12AM	8:22AM	8:32AM	-
13	N	N	-	-	-	-	-	7:18AM	7:38AM	7:51AM	8:01AM	8:14AM	8:22AM	-	-	-
14	N	N	6:41AM	6:48AM	6:52AM	6:58AM	7:11AM	7:28AM	7:48AM	8:01AM	8:11AM	8:24AM	8:32AM	8:42AM	8:52AM	-
15	N	N	-	-	-	-	-	7:38AM	7:58AM	-	-	-	-	-	-	8:11AM
16	N	N	7:01AM	7:08AM	7:12AM	7:18AM	7:31AM	7:48AM	8:08AM	8:21AM	8:31AM	8:44AM	8:52AM	9:02AM	9:12AM	-
17	N	N	-	-	-	-	-	7:58AM	8:18AM	-	-	-	-	-	-	8:31AM
18	N	N	7:21AM	7:28AM	7:32AM	7:38AM	7:51AM	8:08AM	8:28AM	8:41AM	8:51AM	9:03AM	9:09AM	9:19AM	9:29AM	-
19	N	N	-	-	-	-	-	8:18AM	8:38AM	-	-	-	-	-	-	8:51AM
20	N	N	7:41AM	7:48AM	7:52AM	7:58AM	8:11AM	8:28AM	8:48AM	9:01AM	9:10AM	9:20AM	9:26AM	9:36AM	9:46AM	-
21	N	N	-	-	-	-	-	8:38AM	8:58AM	-	-	-	-	-	-	9:09AM
22	N	N	8:01AM	8:08AM	8:12AM	8:18AM	8:31AM	8:48AM	9:08AM	9:19AM	9:28AM	9:38AM	9:44AM	9:54AM	10:04AM	-
23	N	N	-	-	-	-	-	8:58AM	9:17AM	-	-	-	-	-	-	9:28AM
24	N	N	8:21AM	8:28AM	8:32AM	8:38AM	8:51AM	9:08AM	9:27AM	9:38AM	9:47AM	9:57AM	10:03AM	10:13AM	10:23AM	-
25	N	N	-	-	-	-	-	9:18AM	9:37AM	-	-	-	-	-	-	9:48AM
26	N	N	8:44AM	8:51AM	8:55AM	9:01AM	9:12AM	9:28AM	9:47AM	9:58AM	10:07AM	10:17AM	10:23AM	10:33AM	10:43AM	-
27	N	N	-	-	-	-	-	9:38AM	9:57AM	-	-	-	-	-	-	10:08AM
28	N	N	9:05AM	9:12AM	9:15AM	9:21AM	9:32AM	9:48AM	10:07AM	10:18AM	10:27AM	10:37AM	10:43AM	10:53AM	11:03AM	-
29	N	N	-	-	-	-	-	9:58AM	10:17AM	-	-	-	-	-	-	10:28AM
30	N	N	9:25AM	9:32AM	9:35AM	9:41AM	9:52AM	10:08AM	10:27AM	10:38AM	10:47AM	10:57AM	11:03AM	11:13AM	11:23AM	-
31	N	N	-	-	-	-	-	10:18AM	10:37AM	-	-	-	-	-	-	10:48AM
32	N	N	9:45AM	9:52AM	9:55AM	10:01AM	10:12AM	10:28AM	10:47AM	10:58AM	11:07AM	11:17AM	11:23AM	11:33AM	11:43AM	-
33	N	N	-	-	-	-	-	10:38AM	10:57AM	-	-	-	-	-	-	11:08AM
34	N	N	10:05AM	10:12AM	10:15AM	10:21AM	10:32AM	10:48AM	11:07AM	11:18AM	11:27AM	11:37AM	11:43AM	11:53AM	12:03PM	-
35	N	N	-	-	-	-	-	10:58AM	11:17AM	-	-	-	-	-	-	11:28AM
36	N	N	10:25AM	10:32AM	10:35AM	10:41AM	10:52AM	11:08AM	11:27AM	11:38AM	11:47AM	11:57AM	12:03PM	12:13PM	12:23PM	-
37	N	N	-	-	-	-	-	11:18AM	11:37AM	-	-	-	-	-	-	11:48AM
38	N	N	10:45AM	10:52AM	10:55AM	11:01AM	11:12AM	11:28AM	11:47AM	11:58AM	12:07PM	12:17PM	12:23PM	12:33PM	12:43PM	-
39	N	N	-	-	-	-	-	11:38AM	11:57AM	-	-	-	-	-	-	12:08PM
40	N	N	11:05AM	11:12AM	11:15AM	11:21AM	11:32AM	11:48AM	12:07PM	12:18PM	12:27PM	12:37PM	12:43PM	12:53PM	1:03PM	-
