number	type	direction	stop|Superstition Springs Transit Center|0|1	stop|Southern Ave & Greenfield Rd|50|1	stop|Southern Ave & Gilbert Rd|100|1	stop|Southern Ave & Country Club Dr|150|1	stop|Southern Ave & Dobson Rd|200|1	stop|McClintock & Campus Dr|250|1	stop|Southern Ave & McClintock Dr|300|1	stop|Southern Ave & Price Rd|350|1	stop|Southern Ave & Rural Rd|400|1	stop|Southern Ave & 48th St|450|1	stop|Southern Ave & 24th St|500|1	stop|Southern Ave & Central Ave|550|1	stop|Southern Ave & 19th Ave|600|1	stop|Southern Ave & 43rd Ave|650|1	stop|Southern Ave & George Dr|700|1
1	N	E	-	-	-	-	-	-	-	-	-	4:15AM	4:25AM	4:35AM	4:42AM	4:53AM	-
2	N	E	-	-	-	-	-	-	-	-	-	4:45AM	4:55AM	5:05AM	5:12AM	5:23AM	-
3	N	E	-	-	-	-	-	-	-	-	-	5:15AM	5:25AM	5:35AM	5:42AM	5:53AM	-
4	N	E	4:40AM	4:53AM	5:04AM	5:16AM	5:24AM	-	5:29AM	-	5:35AM	5:45AM	5:55AM	6:05AM	6:13AM	6:26AM	-
5	N	E	5:09AM	5:22AM	5:33AM	5:45AM	5:53AM	-	5:58AM	-	6:05AM	6:16AM	6:28AM	6:38AM	6:46AM	6:59AM	-
6	N	E	5:34AM	5:47AM	5:58AM	6:10AM	6:21AM	-	6:27AM	-	6:34AM	6:45AM	6:57AM	7:07AM	7:15AM	7:28AM	-
7	N	E	5:49AM	6:02AM	6:14AM	6:26AM	6:37AM	-	6:43AM	-	6:50AM	7:01AM	7:13AM	7:23AM	7:31AM	7:44AM	-
8	N	E	6:04AM	6:17AM	6:29AM	6:41AM	6:52AM	-	6:58AM	-	7:05AM	7:16AM	7:28AM	7:38AM	7:46AM	7:59AM	-
9	N	E	6:19AM	6:32AM	6:44AM	6:56AM	7:07AM	-	7:13AM	-	7:20AM	7:31AM	7:43AM	7:53AM	8:01AM	8:14AM	-
10	N	E	6:34AM	6:47AM	6:59AM	7:11AM	7:22AM	-	7:28AM	-	7:35AM	7:46AM	7:58AM	8:08AM	8:16AM	8:29AM	-
11	N	E	6:49AM	7:02AM	7:14AM	7:26AM	7:37AM	-	7:43AM	-	7:50AM	8:01AM	8:13AM	8:23AM	8:31AM	8:44AM	-
12	N	E	7:04AM	7:17AM	7:29AM	7:41AM	7:52AM	-	7:58AM	-	8:05AM	8:16AM	8:28AM	8:38AM	8:46AM	8:59AM	-
13	N	E	7:19AM	7:32AM	7:44AM	7:56AM	8:07AM	-	8:13AM	-	8:20AM	8:31AM	8:43AM	8:53AM	9:01AM	9:14AM	-
14	N	E	7:34AM	7:47AM	7:59AM	8:11AM	8:22AM	-	8:28AM	-	8:35AM	8:46AM	8:58AM	9:08AM	9:16AM	9:29AM	-
15	N	E	7:49AM	8:02AM	8:14AM	8:26AM	8:37AM	-	8:43AM	-	8:50AM	9:01AM	9:13AM	9:23AM	9:31AM	9:44AM	-
16	N	E	8:04AM	8:17AM	8:29AM	8:41AM	8:52AM	-	8:58AM	-	9:05AM	9:16AM	9:28AM	9:38AM	9:46AM	9:59AM	-
17	N	E	8:18AM	8:31AM	8:43AM	8:55AM	9:06AM	-	-	-	-	-	-	-	-	-	9:10AM
18	N	E	8:34AM	8:47AM	8:59AM	9:11AM	9:22AM	-	9:28AM	-	9:35AM	9:46AM	9:58AM	10:08AM	10:16AM	10:29AM	-
