number	type	direction	stop|South Mountain Community College|0|1	stop|32nd St & Broadway Rd|50|1	stop|University Dr & 52nd St|100|1	stop|University Dr & Mill Ave|150|1	stop|University Dr & Mcclintock Dr|200|1	stop|Main St & Sycamore Dr|250|1	stop|University Dr & Country Club Dr|300|1	stop|University Dr & Gilbert Rd|350|1	stop|University Dr & Greenfield Rd|400|1	stop|University Dr & Power Rd|450|1	stop|Sossaman Rd & University Dr|500|1	stop|University Dr & Price Rd|550|1
1	N	E	4:05AM	4:16AM	4:24AM	-	-	-	-	-	-	-	-	-
2	N	E	4:35AM	4:46AM	4:54AM	5:02AM	5:11AM	5:22AM	5:37AM	5:47AM	5:56AM	6:05AM	6:08AM	-
3	N	E	5:05AM	5:16AM	5:24AM	5:32AM	5:41AM	5:52AM	6:08AM	6:21AM	6:31AM	6:40AM	6:43AM	-
4	N	E	5:29AM	5:40AM	5:48AM	5:56AM	6:05AM	6:22AM	6:40AM	6:53AM	7:03AM	7:12AM	7:15AM	-
5	N	E	5:54AM	6:07AM	6:17AM	6:25AM	6:35AM	6:52AM	7:10AM	7:23AM	7:33AM	7:42AM	7:45AM	-
6	N	E	6:24AM	6:37AM	6:47AM	6:55AM	7:05AM	7:22AM	7:40AM	7:53AM	8:03AM	8:12AM	8:15AM	-
7	N	E	6:54AM	7:07AM	7:17AM	7:25AM	7:35AM	7:52AM	8:10AM	8:23AM	8:33AM	8:42AM	8:45AM	-
8	N	E	7:24AM	7:37AM	7:47AM	7:55AM	8:05AM	8:22AM	8:40AM	8:53AM	9:03AM	9:11AM	9:14AM	-
9	N	E	7:54AM	8:07AM	8:17AM	8:25AM	8:35AM	8:52AM	9:09AM	9:20AM	9:29AM	9:37AM	9:40AM	-
10	N	E	8:26AM	8:39AM	8:49AM	8:57AM	9:07AM	9:22AM	9:38AM	9:49AM	9:58AM	10:06AM	10:09AM	-
11	N	E	8:58AM	9:10AM	9:19AM	9:27AM	9:37AM	9:52AM	10:08AM	10:19AM	10:28AM	10:36AM	10:39AM	-
12	N	E	9:29AM	9:40AM	9:49AM	9:57AM	10:07AM	10:22AM	10:38AM	10:49AM	10:58AM	11:06AM	11:09AM	-
13	N	E	9:59AM	10:10AM	10:19AM	10:27AM	10:37AM	10:52AM	11:08AM	11:19AM	11:28AM	11:36AM	11:39AM	-
14	N	E	10:29AM	10:40AM	10:49AM	10:57AM	11:07AM	11:22AM	11:38AM	11:49AM	11:58AM	12:06PM	12:09PM	-
15	N	E	10:59AM	11:10AM	11:19AM	11:27AM	11:37AM	11:52AM	12:08PM	12:19PM	12:28PM	12:36PM	12:39PM	-
16	N	E	11:29AM	11:40AM	11:49AM	11:57AM	12:07PM	12:22PM	12:38PM	12:49PM	12:58PM	1:06PM	1:09PM	-
17	N	E	11:59AM	12:10PM	12:19PM	12:27PM	12:37PM	12:52PM	1:08PM	1:19PM	1:28PM	1:36PM	1:39PM	-
18	N	E	12:29PM	12:40PM	12:49PM	12:57PM	1:07PM	1:22PM	1:38PM	1:49PM	1:58PM	2:06PM	2:09PM	-
19	N	E	12:59PM	1:10PM	1:19PM	1:27PM	1:37PM	1:52PM	2:08PM	2:19PM	2:28PM	2:36PM	2:39PM	-
20	N	E	1:29PM	1:40PM	1:49PM	1:57PM	2:07PM	2:22PM	2:38PM	2:49PM	2:58PM	3:07PM	3:10PM	-
21	N	E	1:59PM	2:10PM	2:19PM	2:27PM	2:37PM	2:52PM	3:09PM	3:23PM	3:34PM	3:43PM	3:46PM	-
22	N	E	2:26PM	2:37PM	2:46PM	2:54PM	3:05PM	3:22PM	3:40PM	3:54PM	4:05PM	4:14PM	4:17PM	-
23	N	E	2:50PM	3:02PM	3:14PM	3:23PM	3:35PM	3:52PM	4:10PM	4:24PM	4:35PM	4:44PM	4:47PM	-
24	N	E	3:20PM	3:32PM	3:44PM	3:53PM	4:05PM	4:22PM	4:40PM	4:54PM	5:05PM	5:14PM	5:17PM	-
25	N	E	3:50PM	4:02PM	4:14PM	4:23PM	4:35PM	4:52PM	5:10PM	5:24PM	5:35PM	5:44PM	5:47PM	-
